,Status,Seniority,Home,Time,Age,Marital,Records,Job,Expenses,Income,Assets,Debt,Amount,Price
0,good,9,rent,60,30,married,no,freelance,73,129.0,0.0,0.0,800,846
1,good,17,rent,60,58,widow,no,fixed,48,131.0,0.0,0.0,1000,1658
2,bad,10,owner,36,46,married,yes,freelance,90,200.0,3000.0,0.0,2000,2985
3,good,0,rent,60,24,single,no,fixed,63,182.0,2500.0,0.0,900,1325
4,good,0,rent,36,26,single,no,fixed,46,107.0,0.0,0.0,310,910
5,good,1,owner,60,36,married,no,fixed,75,214.0,3500.0,0.0,650,1645
6,good,29,owner,60,44,married,no,fixed,75,125.0,10000.0,0.0,1600,1800
7,good,9,parents,12,27,single,no,fixed,35,80.0,0.0,0.0,200,1093
8,good,0,owner,60,32,married,no,freelance,90,107.0,15000.0,0.0,1200,1957
9,bad,0,parents,48,41,married,no,partime,90,80.0,0.0,0.0,1200,1468
10,good,6,owner,48,34,married,no,freelance,60,125.0,4000.0,0.0,1150,1577
11,good,7,owner,36,29,married,no,fixed,60,121.0,3000.0,0.0,650,915
12,good,8,owner,60,30,married,no,fixed,75,199.0,5000.0,2500.0,1500,1650
13,good,19,private,36,37,married,no,fixed,75,170.0,3500.0,260.0,600,940
14,bad,0,other,18,21,single,yes,partime,35,50.0,0.0,0.0,400,500
15,good,0,owner,24,68,married,no,fixed,75,131.0,4162.0,0.0,900,1186
16,good,15,private,24,52,single,no,freelance,35,330.0,16500.0,0.0,1500,2201
17,good,33,rent,24,68,married,no,freelance,65,200.0,5000.0,2000.0,600,1350
18,bad,0,ignore,48,36,married,no,partime,45,130.0,750.0,0.0,1100,1511
19,good,1,parents,60,31,single,no,fixed,35,137.0,0.0,0.0,1250,1253
20,bad,2,rent,60,25,single,no,fixed,46,107.0,0.0,0.0,1500,2189
21,good,5,owner,60,22,single,no,fixed,45,324.0,10000.0,0.0,1100,1159
22,bad,1,owner,60,45,married,no,partime,105,112.0,2000.0,500.0,600,1332
23,good,27,rent,60,41,married,no,fixed,74,140.0,0.0,0.0,950,1497
24,good,26,owner,60,51,married,no,fixed,45,143.0,3500.0,0.0,1350,1357
25,good,12,owner,36,54,married,no,fixed,60,130.0,4000.0,0.0,700,2100
26,good,19,owner,60,43,single,no,fixed,75,180.0,4000.0,0.0,1000,1070
27,good,15,owner,36,43,married,no,fixed,75,251.0,4000.0,0.0,1800,2557
28,bad,3,owner,24,23,married,no,fixed,75,85.0,5000.0,0.0,600,1600
29,bad,0,unk,48,37,single,no,unk,35,,,,1500,1850
30,good,4,owner,48,29,married,no,fixed,45,150.0,5000.0,3300.0,1100,1312
31,bad,0,owner,36,23,single,no,partime,45,122.0,2500.0,0.0,400,400
32,good,14,private,24,51,married,no,partime,75,198.0,1000.0,0.0,450,650
33,good,10,owner,36,39,married,no,freelance,75,150.0,3000.0,0.0,1000,1394
34,good,12,parents,36,35,single,no,fixed,35,170.0,0.0,0.0,1100,1542
35,good,32,owner,24,62,married,no,freelance,45,119.0,8500.0,0.0,700,1200
36,good,10,owner,24,56,married,no,freelance,45,208.0,13500.0,0.0,500,1560
37,good,7,owner,48,32,married,no,fixed,75,115.0,3000.0,0.0,800,1200
38,bad,1,rent,54,36,married,no,fixed,70,99.0,0.0,0.0,950,950
39,good,30,owner,60,64,married,no,fixed,45,120.0,14000.0,0.0,1125,1300
40,bad,5,rent,48,31,single,no,fixed,44,90.0,0.0,0.0,1300,1700
41,good,24,owner,60,42,married,no,fixed,75,137.0,4000.0,0.0,900,1167
42,good,0,owner,60,61,widow,no,others,35,230.0,50000.0,0.0,950,1150
43,bad,0,owner,60,32,married,yes,fixed,45,142.0,7000.0,3000.0,1250,1566
44,bad,2,owner,60,43,married,no,partime,75,71.0,3000.0,0.0,1500,1552
45,good,1,parents,60,26,single,no,partime,35,120.0,0.0,0.0,1150,1300
46,good,1,owner,60,49,widow,no,freelance,35,233.0,15900.0,4500.0,2100,2104
47,good,15,owner,36,47,married,no,fixed,75,289.0,3500.0,0.0,1500,2154
48,bad,2,rent,36,27,separated,no,fixed,48,128.0,0.0,0.0,450,545
49,good,25,owner,36,52,married,no,freelance,60,150.0,15000.0,0.0,750,1778
50,good,8,owner,60,28,married,no,fixed,60,145.0,4000.0,1000.0,1600,1718
51,good,5,owner,60,31,married,no,fixed,75,90.0,4000.0,0.0,900,1500
52,good,0,rent,60,32,married,no,fixed,105,301.0,0.0,0.0,1200,1274
53,good,5,owner,36,51,married,no,freelance,75,200.0,2100.0,1200.0,900,1015
54,good,3,parents,12,37,married,no,freelance,60,150.0,500.0,0.0,500,1701
55,bad,1,rent,48,29,married,yes,freelance,85,100.0,0.0,0.0,1000,1345
56,good,7,parents,60,26,single,no,fixed,35,100.0,0.0,0.0,1000,1238
57,good,4,parents,30,27,single,no,fixed,45,100.0,5000.0,0.0,500,1048
58,good,6,owner,24,63,married,no,fixed,60,155.0,4000.0,0.0,600,1048
59,good,14,owner,24,55,married,no,fixed,90,715.0,5000.0,0.0,800,1324
60,good,3,rent,60,28,married,no,fixed,70,245.0,0.0,0.0,1830,2201
61,good,8,rent,48,31,married,no,fixed,90,150.0,0.0,0.0,1100,1430
62,bad,4,parents,42,27,single,no,fixed,35,70.0,0.0,0.0,600,926
63,good,22,owner,24,40,married,no,fixed,75,190.0,3000.0,0.0,1000,1500
64,good,2,owner,36,35,married,no,fixed,75,152.0,3000.0,0.0,1000,1542
65,good,15,private,60,43,married,no,fixed,75,126.0,3000.0,0.0,1350,1360
66,good,10,owner,18,34,married,no,freelance,75,181.0,4000.0,0.0,600,1000
67,good,4,owner,60,37,married,no,fixed,60,185.0,3000.0,0.0,1200,1564
68,good,9,owner,60,53,married,no,fixed,45,170.0,2500.0,0.0,850,1205
69,good,22,rent,60,46,married,no,fixed,93,176.0,7500.0,0.0,2000,2200
70,good,18,parents,36,36,married,no,freelance,60,238.0,0.0,0.0,900,2214
71,good,1,private,60,46,married,no,fixed,60,115.0,5500.0,800.0,1000,1137
72,good,14,owner,48,43,married,no,fixed,45,200.0,9000.0,0.0,600,1025
73,good,8,owner,36,31,married,yes,freelance,75,411.0,9000.0,4000.0,800,1593
74,good,5,owner,24,43,married,no,fixed,75,93.0,3000.0,0.0,700,1735
75,good,19,rent,60,38,married,no,fixed,86,108.0,0.0,0.0,1000,1132
76,good,14,owner,12,37,married,no,freelance,90,500.0,4000.0,0.0,500,1338
77,good,0,other,36,46,married,yes,others,45,45.0,0.0,0.0,900,1100
78,good,9,rent,36,55,married,no,fixed,70,250.0,30000.0,0.0,1750,2276
79,good,29,owner,48,56,married,no,fixed,45,100.0,3000.0,0.0,900,1360
80,good,10,owner,36,55,married,no,fixed,60,70.0,4000.0,0.0,1000,1436
